Multiple, Synchronized, Thread Num, pthread Avg Time, Reg pthread Avg Time
500000000.000000, 0, 1, 0.767506, 0.000000
500000000.000000, 0, 2, 1.533118, 0.000000
500000000.000000, 0, 3, 2.297599, 0.000000
500000000.000000, 0, 4, 3.066540, 0.000000
500000000.000000, 0, 5, 3.832719, 0.000000
500000000.000000, 0, 6, 4.596368, 0.000000
500000000.000000, 0, 7, 5.396904, 0.000000
500000000.000000, 0, 8, 6.161193, 0.000000
500000000.000000, 0, 9, 6.932847, 0.000000
500000000.000000, 0, 10, 7.693210, 0.000000
500000000.000000, 0, 11, 8.467568, 0.000000
500000000.000000, 0, 12, 9.225252, 0.000000
500000000.000000, 0, 13, 10.022133, 0.000000
500000000.000000, 0, 14, 10.752823, 0.000000
500000000.000000, 0, 15, 11.493921, 0.000000
